,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79
Reserves,17.69,13.7,11.51,7.87,6.25,5.11,3.87,2.89
Borrowings,10.62,7.09,7.61,9.68,9.19,6.65,7.77,8.46
Other Liabilities,205.21,207.69,210.65,209.7,12.14,12.36,12.36,12.01
Total Liabilities,237.31,232.27,233.56,231.04,31.37,27.91,27.79,27.15
Fixed Assets,1.15,1.41,1.07,1.2,1.44,1.24,1.36,1.26
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,11.86,8.45,9.05,8.45,8.45,8.45,8.45
Other Assets,236.16,219.0,224.04,220.79,21.48,18.22,17.98,17.44
Total Assets,237.31,232.27,233.56,231.04,31.37,27.91,27.79,27.15
