,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.71,26.12,6.06,0.02,1.51,0.01,0.02,0.02
Expenses,21.14,37.98,7.2,1.94,3.03,1.62,1.7,1.36
Operating Profit,0.57,-11.86,-1.14,-1.92,-1.52,-1.61,-1.68,-1.34
OPM %,2.63,-45.41,-18.81,-9600.0,-100.66,-16100.0,-8400.0,-6700.00
Other Income,7.15,5.1,-0.5,-1.02,3.34,1.32,1.29,1.10
Interest,0.72,0.51,0.44,0.6,0.65,0.59,0.68,0.71
Depreciation,0.11,0.14,0.11,0.17,0.19,0.19,0.19,0.23
Profit before tax,6.89,-7.41,-2.19,-3.71,0.98,-1.07,-1.26,-1.18
Tax %,56.89,20.51,-6.85,-0.81,48.98,-2.8,0.0,
Net Profit,1.71,-5.9,-2.33,-3.75,0.5,-1.1,-1.25,-1.18
EPS in Rs,4.51,-9.87,-5.75,-9.63,0.9,-3.01,-3.27,-3.20
