,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,691.0,784.0,762.0,881.0,988.0,1362.0,1503
Expenses,604.0,687.0,669.0,739.0,865.0,1187.0,1281
Operating Profit,86.0,97.0,93.0,141.0,123.0,175.0,222
OPM %,12.0,12.0,12.0,16.0,12.0,13.0,15
Other Income,2.0,2.0,3.0,10.0,6.0,12.0,15
Interest,7.0,13.0,16.0,10.0,7.0,13.0,11
Depreciation,28.0,35.0,42.0,45.0,46.0,53.0,56
Profit before tax,53.0,51.0,39.0,97.0,76.0,121.0,171
Tax %,32.0,35.0,22.0,26.0,25.0,25.0,
Net Profit,36.0,33.0,30.0,72.0,57.0,90.0,128
EPS in Rs,6.27,5.79,5.29,12.3,9.72,15.31,21.69
