,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,55.0,60.0,62.0,80.0,135.0,170.0,158
Expenses,49.0,55.0,56.0,68.0,110.0,135.0,132
Operating Profit,6.0,5.0,5.0,11.0,26.0,35.0,27
OPM %,10.0,8.0,9.0,14.0,19.0,21.0,17
Other Income,1.0,1.0,1.0,3.0,1.0,1.0,1
Interest,0.0,1.0,1.0,1.0,2.0,4.0,5
Depreciation,4.0,3.0,4.0,4.0,5.0,7.0,8
Profit before tax,2.0,2.0,1.0,9.0,19.0,25.0,15
Tax %,34.0,7.0,38.0,24.0,28.0,26.0,
Net Profit,1.0,2.0,1.0,7.0,14.0,18.0,10
EPS in Rs,1.19,2.06,0.92,7.43,14.96,20.14,11.24
