,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.72,21.39,13.59,14.25,11.96,28.35,32.37
Expenses,18.23,19.98,12.44,13.51,10.9,26.21,30.17
Operating Profit,1.49,1.41,1.15,0.74,1.06,2.14,2.20
OPM %,7.56,6.59,8.46,5.19,8.86,7.55,6.80
Other Income,0.09,0.48,0.45,0.73,0.3,0.13,0.08
Interest,0.56,0.5,0.51,0.36,0.41,0.42,0.37
Depreciation,0.54,0.73,0.63,0.56,0.53,0.45,0.43
Profit before tax,0.48,0.66,0.46,0.55,0.42,1.4,1.48
Tax %,16.67,27.27,45.65,21.82,19.05,26.43,
Net Profit,0.4,0.48,0.25,0.42,0.34,1.03,1.06
EPS in Rs,0.57,0.68,0.36,0.6,0.48,1.46,1.51
