,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7.03,7.03,7.03,7.03,7.03,7.03,7.03
Reserves,6.29,6.6,6.84,7.26,7.6,8.63,8.99
Borrowings,4.36,4.31,4.14,4.79,4.41,5.64,5.57
Other Liabilities,0.59,8.71,5.01,1.02,1.29,2.01,2.06
Total Liabilities,18.27,26.65,23.02,20.1,20.33,23.31,23.65
Fixed Assets,3.77,4.79,4.12,4.06,3.68,3.31,3.14
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,14.5,21.86,18.9,16.04,16.65,20.0,20.51
Total Assets,18.27,26.65,23.02,20.1,20.33,23.31,23.65
