,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,7.02,6.69,6.78,7.64,6.2,6.45,12.49,15.96,16.41
Expenses,6.3,6.26,6.59,7.1,5.72,5.86,11.7,14.63,15.54
Operating Profit,0.72,0.43,0.19,0.54,0.48,0.59,0.79,1.33,0.87
OPM %,10.26,6.43,2.8,7.07,7.74,9.15,6.33,8.33,5.3
Other Income,0.2,0.25,0.6,0.13,0.22,0.1,0.07,0.06,0.02
Interest,0.26,0.25,0.25,0.1,0.22,0.21,0.23,0.17,0.2
Depreciation,0.32,0.32,0.29,0.28,0.26,0.26,0.22,0.23,0.2
Profit before tax,0.34,0.11,0.25,0.29,0.22,0.22,0.41,0.99,0.49
Tax %,0.0,190.91,8.0,34.48,18.18,22.73,19.51,29.29,26.53
Net Profit,0.34,-0.1,0.22,0.2,0.17,0.17,0.33,0.7,0.36
EPS in Rs,0.48,-0.14,0.31,0.28,0.24,0.24,0.47,1.0,0.51
