,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.63,3.63,3.48,3.48,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62
Reserves,-1.74,-1.73,-1.49,-1.57,-1.42,-1.37,-1.32,-1.32,-1.32,-1.31,-1.28,-1.23
Borrowings,0.54,0.54,0.59,0.0,0.0,0.39,0.34,0.15,0.35,0.43,0.43,0.43
Other Liabilities,1.04,0.98,0.98,1.66,1.46,0.47,1.29,0.15,3.12,3.47,0.61,0.18
Total Liabilities,3.47,3.42,3.56,3.5700000000000003,3.66,3.11,3.93,2.6,5.77,6.21,3.38,3.0
Fixed Assets,0.6000000000000001,0.46,0.35,0.33,0.31,0.33,0.31,0.3,0.29,0.27,0.35,0.39
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.27,0.27,0.67,0.7000000000000001,0.73,0.87,0.9,0.81,0.8300000000000001,0.59,0.61,0.63
Other Assets,2.6,2.69,2.54,2.54,2.62,1.91,2.72,1.49,4.65,5.35,2.42,1.98
Total Assets,3.47,3.42,3.56,3.5700000000000003,3.66,3.11,3.93,2.6,5.77,6.21,3.38,3.0
