,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01
Sales,0,0,131.0,219.0,212.0,195.0,251.0,291.0,304.0,300.0,302.0,314.0
Expenses,0,2,47.0,64.0,62.0,56.0,76.0,90.0,97.0,99.0,96.0,103.0
Operating Profit,-0,-2,84.0,155.0,150.0,139.0,175.0,201.0,206.0,201.0,207.0,211.0
OPM %,,,64.0,71.0,71.0,71.0,70.0,69.0,68.0,67.0,68.0,67.0
Other Income,0,0,5.0,4.0,3.0,5.0,10.0,10.0,8.0,9.0,5.0,7.0
Interest,0,0,41.0,42.0,43.0,44.0,80.0,96.0,108.0,114.0,115.0,120.0
Depreciation,0,0,32.0,46.0,47.0,49.0,67.0,69.0,64.0,72.0,71.0,120.0
Profit before tax,-0,-2,17.0,71.0,63.0,51.0,39.0,46.0,43.0,25.0,27.0,-22.0
Tax %,0,0,-62.0,-4.0,-8.0,-17.0,-15.0,-3.0,37.0,1.0,-21.0,-22.0
Net Profit,-0,-2,27.0,74.0,68.0,60.0,44.0,47.0,27.0,25.0,33.0,-27.0
EPS in Rs,,,0.9,2.44,2.25,1.97,1.33,1.41,0.8,0.74,0.98,-0.81
