,2021-03-01,2022-03-01,2023-03-01
Equity Capital,8177,8987,8656
Reserves,25,-105,-322
Borrowings,2111,5190,5508
Other Liabilities,681,713,799
Total Liabilities,10995,14786,14641
Fixed Assets,10107,13632,13546
CWIP,0,0,0
Investments,0,0,0
Other Assets,887,1154,1095
Total Assets,10995,14786,14641
