,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,131.0,877.0,1197.0,1220
Expenses,48.0,258.0,381.0,394
Operating Profit,83.0,618.0,816.0,826
OPM %,63.0,71.0,68.0,68
Other Income,5.0,22.0,32.0,29
Interest,41.0,208.0,432.0,457
Depreciation,32.0,208.0,275.0,326
Profit before tax,15.0,224.0,140.0,72
Tax %,-69.0,-10.0,7.0,
Net Profit,25.0,246.0,131.0,57
EPS in Rs,0.84,7.35,3.92,1.71
