,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,58.9,58.9,59.8,59.11,58.9,63.81,64.48,64.48
DIIs,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05
Public,41.03,41.03,40.13,40.83,41.03,36.13,35.45,35.47
No. of Shareholders,18549.0,18357.0,18174.0,17930.0,17781.0,19463.0,19506.0,19415.0
