,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,34.0,59.0,102.0,230.0,644.0,766
Expenses,19.0,32.0,44.0,121.0,435.0,512
Operating Profit,15.0,27.0,58.0,109.0,208.0,254
OPM %,45.0,46.0,57.0,47.0,32.0,33
Other Income,6.0,0.0,0.0,1.0,3.0,4
Interest,4.0,8.0,16.0,37.0,47.0,63
Depreciation,4.0,7.0,13.0,14.0,23.0,31
Profit before tax,13.0,12.0,30.0,59.0,142.0,164
Tax %,31.0,46.0,27.0,27.0,23.0,
Net Profit,9.0,6.0,22.0,43.0,110.0,134
EPS in Rs,2.47,1.78,6.07,11.98,30.34,37.17
