,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-17,40,-27,102,159
Cash from Investing Activity,-15,-119,-63,-189,-309
Cash from Financing Activity,33,87,101,91,177
Net Cash Flow,1,8,11,4,27
