,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.03,0.03,0.03,0.03,3.53,3.53
Reserves,-0.86,-0.8200000000000001,-0.81,2.8200000000000003,15.64,22.14
Borrowings,2.11,1.98,2.64,2.32,2.15,1.66
Other Liabilities,0.93,1.24,1.89,3.9,10.24,41.44
Total Liabilities,2.21,2.43,3.75,9.07,31.56,68.77
Fixed Assets,0.06,0.05,1.11,1.02,1.04,0.96
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.17,0.05,0.0,0.0,0.0
Other Assets,2.15,2.21,2.59,8.05,30.52,67.81
Total Assets,2.21,2.43,3.75,9.07,31.56,68.77
