,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.19,0.48,1.16,8.41,15.19,35.69
Expenses,0.15,0.51,1.16,3.75,14.09,24.91
Operating Profit,0.04,-0.03,0.0,4.66,1.1,10.78
OPM %,21.05,-6.25,0.0,55.41,7.24,30.20
Other Income,0.0,0.09,0.04,0.68,0.25,0.45
Interest,0.0,0.0,0.0,0.09,0.09,0.06
Depreciation,0.02,0.02,0.02,0.18,0.19,0.20
Profit before tax,0.02,0.04,0.02,5.07,1.07,10.97
Tax %,50.0,25.0,50.0,28.4,27.1,
Net Profit,0.01,0.04,0.01,3.63,0.78,8.48
EPS in Rs,3.85,15.38,3.85,1396.15,2.21,24.02
