,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,-6.77,0.75,14.44,21.25
Expenses,-10.34,1.83,12.26,12.65
Operating Profit,3.57,-1.08,2.18,8.6
OPM %,,-144.0,15.1,40.47
Other Income,0.43,0.02,0.23,0.22
Interest,0.01,0.05,0.03,0.03
Depreciation,-0.01,0.09,0.1,0.1
Profit before tax,4.00,-1.2,2.28,8.69
Tax %,28.75,0.0,12.72,25.2
Net Profit,2.85,-1.2,1.98,6.5
EPS in Rs,1096.15,-3.4,5.61,18.41
