,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Reserves,3.32,4.0,4.69,4.5600000000000005,4.33,-1.09,-3.41,-4.31,-5.21,-5.19,-5.36,-5.5
Borrowings,4.28,6.57,8.59,11.32,13.26,15.41,17.6,18.5,19.48,19.41,19.64,19.76
Other Liabilities,1.21,0.84,0.76,0.29,0.36,0.36,0.42,0.34,0.26,0.32,0.25,0.28
Total Liabilities,13.81,16.41,19.04,21.17,22.95,19.68,19.61,19.53,19.53,19.54,19.53,19.54
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Other Assets,13.73,16.33,18.96,21.09,22.87,19.6,19.53,19.45,19.45,19.46,19.45,19.46
Total Assets,13.81,16.41,19.04,21.17,22.95,19.68,19.61,19.53,19.53,19.54,19.53,19.54
