,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.08,10.08,10.08,10.08,10.08,8.5,8.5,8.5
Reserves,2.22,2.43,2.46,2.53,2.36,5.46,5.48,5.51
Borrowings,17.79,17.82,17.45,17.5,17.47,17.44,18.61,18.76
Other Liabilities,0.04,0.04,0.12,0.07,0.06,0.1,0.12,0.06
Total Liabilities,30.13,30.37,30.11,30.18,29.97,31.5,32.71,32.83
Fixed Assets,26.69,26.94,27.02,27.05,27.08,27.11,28.01,28.36
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,3.05,3.21,2.83,2.86,2.62,4.15,4.16,4.17
Other Assets,0.39,0.22,0.26,0.27,0.27,0.24,0.54,0.3
Total Assets,30.13,30.37,30.11,30.18,29.97,31.5,32.71,32.83
