,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.0
Expenses,0.24,0.13,0.22,0.22,0.26,0.18,0.21,0.21
Operating Profit,-0.24,0.0,-0.09,-0.22,-0.26,-0.18,-0.21,-0.21
OPM %,,0.0,-69.23,,,,,
Other Income,0.29,0.08,0.49,0.28,0.36,0.25,0.25,0.32
Interest,0.01,0.0,0.0,0.00,0.00,0.00,0.00,0.0
Depreciation,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0
Profit before tax,0.02,0.07,0.39,0.05,0.09,0.06,0.03,0.11
Tax %,50.00,0.0,20.51,0.00,33.33,33.33,100.00,
Net Profit,0.15,0.15,0.2,0.09,-0.20,1.50,0.03,1.15
EPS in Rs,0.06,0.06,0.08,0.04,-0.08,0.60,0.01,0.45
