,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1987.0,2173.0,2563.0,3441.0,2672.0,2413.0,3966.0,4651.0,4824
Expenses,1815.0,1987.0,2364.0,3196.0,2500.0,2270.0,3712.0,4433.0,4604
Operating Profit,172.0,186.0,199.0,245.0,172.0,143.0,255.0,218.0,220
OPM %,9.0,9.0,8.0,7.0,6.0,6.0,6.0,5.0,5
Other Income,2.0,4.0,23.0,8.0,8.0,2.0,16.0,26.0,31
Interest,58.0,48.0,45.0,66.0,67.0,59.0,71.0,103.0,117
Depreciation,60.0,64.0,70.0,79.0,78.0,86.0,101.0,72.0,78
Profit before tax,56.0,78.0,106.0,108.0,36.0,1.0,98.0,69.0,56
Tax %,29.0,24.0,29.0,30.0,-33.0,85.0,24.0,22.0,
Net Profit,41.0,59.0,75.0,76.0,47.0,0.0,74.0,54.0,46
EPS in Rs,17.07,24.58,31.15,31.79,20.39,0.76,31.78,24.13,20.83
