,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12,12,12,24,24,24,24,24,24
Reserves,402,457,575,616,640,637,710,740,765
Borrowings,386,369,359,495,650,698,876,785,788
Other Liabilities,495,532,718,880,674,1118,1364,1460,1541
Total Liabilities,1295,1369,1663,2015,1987,2476,2974,3010,3118
Fixed Assets,518,526,557,710,753,883,903,1000,1093
CWIP,17,22,65,65,198,114,126,114,109
Investments,17,19,21,23,23,23,24,28,27
Other Assets,743,802,1019,1216,1013,1456,1921,1868,1889
Total Assets,1295,1369,1663,2015,1987,2476,2974,3010,3118
