,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.59,1.35,1.33,0.69,0.37,0.22,0.00,0.00,0.8,0.92,0.8,0.93,0.89
Expenses,1.44,1.45,2.36,1.05,0.99,0.62,0.73,0.41,0.37,0.32,0.27,0.35,0.36
Operating Profit,0.15,-0.1,-1.03,-0.36,-0.62,-0.4,-0.73,-0.41,0.43,0.6,0.53,0.58,0.53
OPM %,9.43,-7.41,-77.44,-52.17,-167.57,-181.82,,,53.75,65.22,66.25,62.37,59.55
Other Income,0.05,0.13,0.54,0.18,0.1,19.28,0.19,0.11,-0.1,-0.14,-2.4,0.2,0.16
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.03,0.1,0.11,0.11,0.11
Depreciation,0.17,0.17,0.17,0.13,0.13,0.13,0.00,0.01,0.65,0.74,0.72,0.69,0.69
Profit before tax,0.03,-0.14,-0.66,-0.31,-0.65,18.75,-0.54,-0.31,-0.35,-0.38,-2.7,-0.02,-0.11
Tax %,-33.33,7.14,-7.58,-3.23,-1.54,20.64,575.93,-80.65,-42.86,-23.68,-2.96,-350.0,9.09
Net Profit,0.17,0.07,0.13,-0.32,-0.73,14.98,2.56,-0.28,0.3,-0.46,-2.66,-0.29,-0.13
EPS in Rs,0.36,0.15,0.27,-0.67,-1.53,31.46,5.38,-0.59,0.63,-0.97,-5.59,-0.61,-0.27
