,2008-03-01,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
Reserves,27.84,30.21,29.52,30.26,22.4,34.87,28.97,40.01,55.51,53.25,52.83
Borrowings,0.0,0.0,1.53,9.1,7.65,0.0,0.0,0.0,0.0,4.59,4.49
Other Liabilities,3.97,3.91,4.92,6.09,11.67,6.79,6.49,5.25,2.17,2.52,2.5700000000000003
Total Liabilities,32.29,34.6,36.45,45.93,42.2,42.14,35.94,45.74,58.16,60.84,60.37
Fixed Assets,0.5,0.44,3.47,3.3,3.16,10.69,9.93,9.24,8.72,46.75,45.23
CWIP,0.0,0.0,1.01,8.62,10.97,0.0,0.0,0.0,0.0,0.0,0.0
Investments,6.16,14.01,14.28,21.19,12.06,25.9,20.27,28.6,26.14,6.64,5.75
Other Assets,25.63,20.15,17.69,12.82,16.01,5.55,5.74,7.9,23.3,7.45,9.39
Total Assets,32.29,34.6,36.45,45.93,42.2,42.14,35.94,45.74,58.16,60.84,60.37
