,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,67,67,67,67,65,65,65,65,59,59,59,72
Reserves,2138,2297,2270,2139,2408,958,-4614,-4543,3312,4003,6112,9774
Preference Capital,2,2,2,2,0,2,2,2,147,162,178,78
Borrowings,4897,5718,2933,3644,5252,5206,7226,7914,3467,3498,3518,1376
Other Liabilities,5582,6346,7041,8014,8727,7026,5043,4501,1030,1449,1792,2021
Total Liabilities,12684,14427,12310,13863,16452,13256,7721,7937,7868,9009,11480,13244
Fixed Assets,2345,2480,2496,2381,5637,5502,5358,5224,5070,4954,4900,5148
CWIP,237,213,143,100,42,29,28,27,25,27,28,80
Investments,211,283,334,282,146,89,51,31,20,30,42,38
Other Assets,9892,11451,9336,11100,10628,7636,2284,2655,2752,3997,6510,7978
Total Assets,12684,14427,12310,13863,16452,13256,7721,7937,7868,9009,11480,13244
