,2023-03-01,2023-09-01
Equity Capital,15095.33,15095.33
Reserves,,15437.42
Borrowings,,4145.75
Other Liabilities,,928.46
Total Liabilities,,20511.63
Fixed Assets,,18178.88
CWIP,,2.76
Investments,,1117.47
Other Assets,,1212.52
Total Assets,,20511.63
