,2023-06-01,2023-09-01
Sales,287.0,541.0
Expenses,98.0,184.0
Operating Profit,190.0,357.0
OPM %,66.0,66.0
Other Income,6.0,18.0
Interest,53.0,95.0
Depreciation,78.0,147.0
Profit before tax,65.0,134.0
Tax %,-45.0,-88.0
Net Profit,94.0,251.0
EPS in Rs,0.62,1.66
