,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,75.0,76,55,51
Inventory Days,46.0,66,64,46
Days Payable,51.0,52,40,23
Cash Conversion Cycle,70.0,90,79,74
Working Capital Days,70.0,83,68,70
ROCE %,,17,19,17
