,Mar 2010,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.0,0.00,0.00,0.76,4.36,7.64,8.42,15.21,19.54,14.46,13.70
Expenses,0.02,0.02,0.02,0.14,0.23,3.34,8.24,10.88,10.25,11.69,13.16,12.86,13.42
Operating Profit,-0.02,-0.02,-0.02,-0.14,-0.23,-2.58,-3.88,-3.24,-1.83,3.52,6.38,1.6,0.28
OPM %,,,,,,-339.47,-88.99,-42.41,-21.73,23.14,32.65,11.07,2.04
Other Income,0.34,0.15,0.02,0.21,0.32,0.31,0.22,0.25,0.29,0.2,0.09,0.32,0.43
Interest,0.06,0.05,0.0,0.00,0.05,0.26,0.8,0.96,1.01,0.89,0.37,0.42,0.40
Depreciation,0.00,0.00,0.0,0.00,0.00,0.2,1.12,1.23,1.66,1.44,1.64,1.59,1.55
Profit before tax,0.26,0.08,0.0,0.07,0.04,-2.73,-5.58,-5.18,-4.21,1.39,4.46,-0.09,-1.24
Tax %,23.08,37.50,,57.14,25.00,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,
Net Profit,0.20,0.05,0.0,0.02,0.03,-2.72,-5.58,-5.18,-4.24,1.38,4.46,-0.09,-1.25
EPS in Rs,5.00,1.25,0.0,0.09,0.13,-5.24,-10.75,-6.32,-4.56,1.34,4.33,-0.09,-1.21
