,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,2.94,2.3,1.3,4.84,3.1,4.08,3.61,5.19,8.37
Expenses,3.34,2.43,1.71,4.84,3.17,4.04,3.65,6.04,8.16
Operating Profit,-0.4,-0.13,-0.41,0.0,-0.07,0.04,-0.04,-0.85,0.21
OPM %,-13.61,-5.65,-31.54,0.0,-2.26,0.98,-1.11,-16.38,2.51
Other Income,0.26,0.29,0.15,0.64,0.35,0.71,1.08,0.73,0.0
Interest,0.04,0.07,0.05,0.05,0.05,0.2,0.07,0.07,0.07
Depreciation,0.05,0.07,0.05,0.05,0.05,0.08,0.09,0.09,0.1
Profit before tax,-0.23,0.02,-0.36,0.54,0.18,0.47,0.88,-0.28,0.04
Tax %,0.0,0.0,0.0,0.0,0.0,31.91,0.0,-57.14,0.0
Net Profit,-0.24,0.02,-0.36,0.54,0.18,0.32,0.88,-0.43,0.04
EPS in Rs,-0.5,0.04,-0.75,1.13,0.38,0.67,1.84,-0.9,0.08
