,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.31,0.17,0.41,0.59,0.72,1.22,3.49,5.3,5.08,4.99
Expenses,2.29,0.12,0.33,0.55,0.7,0.78,1.41,2.42,2.53,2.93
Operating Profit,0.02,0.05,0.08,0.04,0.02,0.44,2.08,2.88,2.55,2.06
OPM %,0.87,29.41,19.51,6.78,2.78,36.07,59.6,54.34,50.2,41.28
Other Income,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01
Interest,0.0,0.0,0.0,0.0,0.0,0.12,1.67,2.31,1.8,1.21
Depreciation,0.01,0.04,0.01,0.01,0.01,0.01,0.05,0.11,0.11,0.12
Profit before tax,0.01,0.01,0.06,0.03,0.01,0.31,0.36,0.47,0.65,0.74
Tax %,0.0,0.0,16.67,33.33,100.0,32.26,25.0,27.66,24.62,
Net Profit,0.01,0.0,0.06,0.03,0.01,0.21,0.27,0.35,0.49,0.59
EPS in Rs,0.02,0.0,0.1,0.05,0.02,0.35,0.45,0.58,0.82,0.98
