,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Reserves,-0.18,-0.54,-0.76,-0.73,-0.72,-0.51,-0.24,0.11,0.6000000000000001,0.84
Borrowings,4.39,4.82,0.54,0.84,3.49,4.96,29.79,21.77,17.67,15.05
Other Liabilities,0.13,0.45,0.1,0.1,0.23,0.7000000000000001,0.68,1.08,1.94,6.38
Total Liabilities,10.34,10.73,5.88,6.21,9.0,11.15,36.23,28.96,26.21,28.27
Fixed Assets,0.03,0.04,0.02,0.01,0.05,0.1,0.8200000000000001,0.81,0.79,0.74
CWIP,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0
Investments,1.69,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,8.62,9.0,5.86,6.2,8.87,10.97,35.41,28.15,25.42,27.53
Total Assets,10.34,10.73,5.88,6.21,9.0,11.15,36.23,28.96,26.21,28.27
