,2023-03-01
Depreciation,0.04
EPS in Rs,0.02
Expenses,8.71
Interest,0.0
Net Profit,0.52
OPM %,-6.61
Operating Profit,-0.54
Other Income,1.3
Profit before tax,0.72
Sales,8.17
Tax %,27.78
