,2023-03-01,2023-09-01
Equity Capital,18.19,22.74
Reserves,6.82,2.92
Borrowings,0.0,0.3
Other Liabilities,3.49,2.0
Total Liabilities,28.5,27.96
Fixed Assets,0.09,0.34
CWIP,0.0,0.0
Investments,0.03,0.06
Other Assets,28.38,27.56
Total Assets,28.5,27.96
