,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,9.63,0.00,0.00,22.84,0.25,0.00,0.1,1.09
Expenses,11.04,0.04,0.04,23.29,0.19,1.19,1.35,1.1
Operating Profit,-1.41,-0.04,-0.04,-0.45,0.06,-1.19,-1.25,-0.01
OPM %,-14.64,,,-1.97,24.0,,-1250.0,-0.92
Other Income,0.0,0.00,0.00,0.0,0.01,0.00,0.13,0.55
Interest,0.0,0.00,0.00,0.0,0.0,0.00,0.01,0.08
Depreciation,0.0,0.00,0.00,0.0,0.0,0.00,0.0,0.0
Profit before tax,-1.41,-0.04,-0.04,-0.45,0.07,-1.19,-1.13,0.46
Tax %,0.0,0.00,0.00,0.0,0.0,0.00,-0.88,19.57
Net Profit,-1.42,-0.04,-0.05,-0.45,0.07,-1.20,-1.14,0.37
EPS in Rs,-1.27,-0.04,-0.04,-0.4,0.06,-1.07,-1.02,0.33
