,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,200.12,210.77,101.28,18.38,15.95,0.68
Expenses,151.13,168.19,92.14,2.25,9.67,10.35
Operating Profit,48.99,42.58,9.14,16.13,6.28,-9.67
OPM %,24.48,20.2,9.02,87.76,39.37,-1422.06
Other Income,0.55,0.44,0.22,0.03,-0.05,16.34
Interest,0.18,0.16,0.17,0.17,0.76,0.66
Depreciation,1.19,1.17,0.69,0.44,0.3,2.02
Profit before tax,48.17,41.69,8.5,15.55,5.17,3.99
Tax %,35.83,25.28,43.29,28.87,49.71,
Net Profit,30.91,31.14,4.83,11.06,2.6,1.28
EPS in Rs,105.27,106.07,16.46,37.61,8.82,4.35
