,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.88,2.88,2.88,2.88,2.88,2.88
Reserves,305.2,335.57,339.94,350.77,353.37,355.2
Borrowings,1.36,1.83,2.07,2.49,15.08,15.81
Other Liabilities,14.08,13.63,7.56,9.73,7.52,7.7
Total Liabilities,323.52,353.91,352.45,365.87,378.85,381.59
Fixed Assets,5.54,5.05,6.64,8.02,37.32,61.95
CWIP,0.16,0.18,0.18,0.18,25.89,0.1
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,317.82,348.68,345.63,357.67,315.64,319.54
Total Assets,323.52,353.91,352.45,365.87,378.85,381.59
