,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,15.44,12.03,12.01,15.53,14.99,15.6,22.91,21.36,24.33,27.96,29.53,24.63,23.71
Expenses,12.87,9.85,9.86,12.81,12.39,12.45,18.54,16.33,19.02,22.24,25.58,19.75,19.28
Operating Profit,2.57,2.18,2.15,2.72,2.6,3.15,4.37,5.03,5.31,5.72,3.95,4.88,4.43
OPM %,16.65,18.12,17.9,17.51,17.34,20.19,19.07,23.55,21.82,20.46,13.38,19.81,18.68
Other Income,0.02,0.14,0.0,0.01,0.02,0.01,0.05,0.0,0.0,0.01,1.17,0.1,1.01
Interest,0.08,0.07,0.13,0.07,0.08,0.06,0.08,0.05,0.09,0.18,0.23,0.07,0.11
Depreciation,0.23,0.22,0.39,0.31,0.29,0.28,0.37,0.32,0.31,0.31,0.64,0.38,0.41
Profit before tax,2.28,2.03,1.63,2.35,2.25,2.82,3.97,4.66,4.91,5.24,4.25,4.53,4.92
Tax %,27.63,27.59,43.56,28.51,28.0,27.66,24.18,25.11,25.25,25.19,30.12,25.17,25.2
Net Profit,1.65,1.46,0.91,1.7,1.62,2.03,3.01,3.49,3.67,3.92,2.99,3.39,3.69
EPS in Rs,1.65,1.46,0.91,1.7,1.62,2.02,3.0,3.48,3.11,3.33,2.54,2.88,3.13
