,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,73.54,73.54,73.54,73.54
FIIs,0.0,0.0,0.0,0.42
Public,26.46,26.46,26.45,26.04
No. of Shareholders,147.0,134.0,197.0,348.0
