,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,137.0,138.0,194.0,218.0,236.0,236.0
Expenses,20.0,29.0,37.0,56.0,53.0,58.0
Operating Profit,117.0,109.0,157.0,162.0,183.0,178.0
OPM %,85.0,79.0,81.0,74.0,78.0,75.0
Other Income,1.0,1.0,5.0,6.0,5.0,5.0
Interest,27.0,28.0,53.0,59.0,61.0,64.0
Depreciation,34.0,32.0,51.0,58.0,57.0,58.0
Profit before tax,58.0,50.0,59.0,51.0,70.0,61.0
Tax %,-9.0,-22.0,-19.0,-24.0,-19.0,-22.0
Net Profit,63.0,61.0,70.0,63.0,83.0,74.0
EPS in Rs,1.06,1.02,0.96,0.87,1.14,1.02
