,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,147.0,698.0,883
Expenses,1,38.0,142.0,204
Operating Profit,-1,109.0,556.0,679
OPM %,,74.0,80.0,77
Other Income,0,3.0,3.0,21
Interest,0,32.0,166.0,237
Depreciation,0,11.0,176.0,223
Profit before tax,-1,70.0,217.0,240
Tax %,0,2.0,-18.0,
Net Profit,-1,68.0,257.0,290
EPS in Rs,,1.15,3.54,3.99
