,2021-03-01,2022-03-01,2023-03-01
Sales,15.32,14.10,36.65
Expenses,14.71,10.35,29.64
Operating Profit,0.61,3.75,7.01
OPM %,3.98,26.60,19.13
Other Income,0.10,0.22,0.54
Interest,0.30,0.59,0.89
Depreciation,0.21,0.39,0.46
Profit before tax,0.20,2.99,6.20
Tax %,45.00,28.76,27.10
Net Profit,0.12,2.13,4.52
EPS in Rs,,,
