,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,88,77.0,58.0,54.0,58.0,69.0,45
Expenses,73,61.0,48.0,40.0,44.0,54.0,36
Operating Profit,14,16.0,10.0,14.0,14.0,15.0,9
OPM %,17,21.0,17.0,27.0,25.0,22.0,20
Other Income,0,6.0,4.0,2.0,2.0,-225.0,-219
Interest,5,6.0,5.0,2.0,2.0,2.0,3
Depreciation,2,1.0,1.0,1.0,1.0,89.0,90
Profit before tax,7,15.0,8.0,13.0,14.0,-301.0,-303
Tax %,4,20.0,16.0,13.0,20.0,1.0,
Net Profit,7,12.0,7.0,11.0,11.0,-299.0,-299
EPS in Rs,,10.4,5.87,9.39,9.28,-253.15,-252.75
