,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,16.0,112.0,351.0,285
Expenses,19.0,106.0,334.0,272
Operating Profit,-3.0,6.0,18.0,13
OPM %,-20.0,5.0,5.0,4
Other Income,53.0,1.0,1.0,1
Interest,1.0,4.0,10.0,11
Depreciation,5.0,5.0,7.0,7
Profit before tax,44.0,-3.0,1.0,-4
Tax %,-46.0,22.0,36.0,
Net Profit,64.0,-2.0,1.0,-3
EPS in Rs,38.79,-2.86,-2.07,-2.78
