,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,15.11,10.59,11.15,11.48,78.97,111.04,93.8,69.46,77.22,59.37,78.87
Expenses,15.33,11.11,11.91,8.74,75.1,106.05,89.7,66.0,74.11,57.99,74.03
Operating Profit,-0.22,-0.52,-0.76,2.74,3.87,4.99,4.1,3.46,3.11,1.38,4.84
OPM %,-1.46,-4.91,-6.82,23.87,4.9,4.49,4.37,4.98,4.03,2.32,6.14
Other Income,-0.19,0.06,0.07,0.02,0.5,1.86,0.1,0.02,0.32,0.25,0.89
Interest,1.27,0.82,0.84,0.84,1.4,1.9,2.06,2.32,3.1,2.5,2.72
Depreciation,1.28,1.14,1.18,1.17,1.75,1.77,1.82,1.95,1.84,1.8,1.89
Profit before tax,-2.96,-2.42,-2.71,0.75,1.22,3.18,0.32,-0.79,-1.51,-2.67,1.12
Tax %,678.72,22.31,7.75,-53.33,36.07,33.02,56.25,32.91,37.09,19.85,14.29
Net Profit,17.14,-1.88,-2.5,1.15,0.78,2.13,0.12,-0.55,-0.95,-2.14,0.96
EPS in Rs,10.45,-1.15,-1.52,0.7,0.17,0.37,-1.0,-0.22,-1.36,-1.41,0.21
