,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,31.75,33.33,33.33,33.39,33.39,33.39,33.4
Public,68.25,66.67,66.67,66.61,66.61,66.6,66.6
No. of Shareholders,1154.0,827.0,845.0,845.0,958.0,962.0,977.0
