,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,40.05,41.01,74.89,83.46,74.28,78.45,109.74,116.53,103.45,0.67,0.18,0.02,0.01
Expenses,38.68,39.65,74.08,82.96,72.82,78.17,110.99,116.86,104.53,1.6,1.89,1.78,0.88
Operating Profit,1.37,1.36,0.81,0.5,1.46,0.28,-1.25,-0.33,-1.08,-0.93,-1.71,-1.76,-0.87
OPM %,3.42,3.32,1.08,0.6,1.97,0.36,-1.14,-0.28,-1.04,-138.81,-950.0,-8800.0,-8700.00
Other Income,0.07,0.17,1.07,1.16,0.43,1.85,3.09,2.27,2.44,2.39,2.3,0.89,0.71
Interest,0.72,0.7,0.99,0.74,0.59,0.64,0.41,0.78,0.84,0.79,0.57,0.23,0.06
Depreciation,0.16,0.25,0.28,0.33,0.29,0.3,0.19,0.24,0.2,0.24,0.23,0.18,0.14
Profit before tax,0.56,0.58,0.61,0.59,1.01,1.19,1.24,0.92,0.32,0.43,-0.21,-1.28,-0.36
Tax %,33.93,29.31,26.23,15.25,28.71,5.88,33.87,41.3,31.25,-2.33,-61.9,32.03,
Net Profit,0.37,0.41,0.45,0.5,0.71,1.12,0.82,0.54,0.22,0.43,-0.34,-0.87,-0.48
EPS in Rs,0.73,0.8,0.88,0.98,1.39,2.19,1.61,1.06,0.43,0.84,-0.67,-1.7,-0.93
