,Jun 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,0.09,0.08,0.07,0.13,0.13,0.09,0.10,0.10,0.08,0.12,0.11,0.11,0.07
Operating Profit,-0.09,-0.08,-0.07,-0.13,-0.13,-0.09,-0.10,-0.10,-0.08,-0.12,-0.11,-0.11,-0.07
OPM %,,,,,,,,,,,,,
Other Income,0.00,-0.64,0.05,0.43,0.23,0.14,0.20,0.16,-0.59,-2.71,0.00,0.39,-0.44
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Depreciation,0.16,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Profit before tax,-0.25,-0.76,-0.02,0.30,0.10,0.05,0.10,0.06,-0.67,-2.83,-0.11,0.28,-0.51
Tax %,0.00,0.00,0.00,30.00,40.00,40.00,50.00,66.67,22.39,-10.60,0.00,0.00,
Net Profit,-0.25,-0.75,-0.02,0.21,0.06,0.03,0.05,0.02,-0.52,-3.13,-0.11,0.28,-0.51
EPS in Rs,-0.42,-1.27,-0.03,0.36,0.10,0.05,0.08,0.03,-0.88,-5.32,-0.19,0.48,-0.86
