,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.4,0.92,4.23,3.55,7.35,18.03
Expenses,1.26,1.75,5.11,7.56,11.01,22.49
Operating Profit,-0.86,-0.83,-0.88,-4.01,-3.66,-4.46
OPM %,-215.0,-90.22,-20.8,-112.96,-49.8,-24.74
Other Income,0.04,1.15,1.23,-1.69,0.02,0.04
Interest,0.12,0.01,0.01,0.01,0.28,0.32
Depreciation,0.0,0.01,0.03,0.17,0.37,0.29
Profit before tax,-0.94,0.3,0.31,-5.88,-4.29,-5.03
Tax %,0.0,0.0,61.29,0.0,0.7,
Net Profit,-0.95,0.3,0.12,-5.88,-4.27,-5.02
EPS in Rs,-1.27,0.4,0.16,-6.85,-5.35,-6.19
