,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.4,3.4,3.4,3.4,7.48,7.48
Reserves,29.02,29.07,29.19,21.93,23.26,20.94
Borrowings,5.38,5.64,5.83,6.53,1.44,0.26
Other Liabilities,31.35,27.33,29.32,29.58,36.63,46.03
Total Liabilities,69.15,65.44,67.74,61.44,68.81,74.71
Fixed Assets,58.01,58.01,58.82,55.28,35.7,35.85
CWIP,0.0,0.0,0.06,0.02,0.1,0.0
Investments,0.44,0.19,0.18,0.0,0.0,0.0
Other Assets,10.7,7.24,8.68,6.14,33.01,38.86
Total Assets,69.15,65.44,67.74,61.44,68.81,74.71
