,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,337,118,310,294,116,219,50,203,172,75,85,504
Cash from Investing Activity,-184,-92,-105,-52,-7,-93,-65,-29,-34,-15,-35,-55
Cash from Financing Activity,-152,-27,-204,-241,-109,-126,14,-174,-139,-60,-49,-449
Net Cash Flow,1,-1,0,1,0,-1,-1,0,0,0,0,0
