,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,6.79,3.07,13.38,11.87,12.86,7.37,13.19,5.1
Expenses,6.73,2.92,13.28,11.68,12.53,7.09,12.84,4.75
Operating Profit,0.06,0.15,0.1,0.19,0.33,0.28,0.35,0.35
OPM %,0.88,4.89,0.75,1.6,2.57,3.8,2.65,6.86
Other Income,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.01,0.01,0.01,0.01,0.03,0.07,0.0,0.01
Profit before tax,0.03,0.14,0.09,0.18,0.3,0.21,0.35,0.34
Tax %,0.0,28.57,22.22,22.22,23.33,23.81,28.57,23.53
Net Profit,0.03,0.1,0.06,0.13,0.22,0.16,0.26,0.26
EPS in Rs,0.3,1.0,0.6,0.78,1.32,0.96,1.56,1.56
