,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Promoters,47.6,47.6,47.6,47.59,47.59
Public,52.4,52.4,52.4,52.39,52.4
No. of Shareholders,132.0,117.0,113.0,106.0,104.0
