,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,33.66,38.30,13.60,16.65
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,33.66,38.30,13.60,16.65
Working Capital Days,673.24,517.03,316.85,396.95
ROCE %,,1.74,7.13,3.17
