,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.53,6.29,9.93,8.11,5.78
Expenses,5.35,5.84,8.38,7.43,5.85
Operating Profit,0.18,0.45,1.55,0.68,-0.07
OPM %,3.25,7.15,15.61,8.38,-1.21
Other Income,0.08,0.03,0.09,0.08,0.10
Interest,0.32,0.27,0.27,0.22,0.13
Depreciation,0.13,0.09,0.07,0.07,0.05
Profit before tax,-0.19,0.12,1.3,0.47,-0.15
Tax %,-15.79,16.67,21.54,29.79,
Net Profit,-0.22,0.1,1.02,0.34,-0.20
EPS in Rs,-0.21,0.09,0.96,0.32,-0.19
