,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,2.29,2.73,2.67,3.63,5.54,4.4,4.74,3.36,2.42
Expenses,1.99,2.8,2.55,3.31,4.18,4.24,4.16,3.31,2.54
Operating Profit,0.3,-0.07,0.12,0.32,1.36,0.16,0.58,0.05,-0.12
OPM %,13.1,-2.56,4.49,8.82,24.55,3.64,12.24,1.49,-4.96
Other Income,-0.0,0.05,0.01,0.02,-0.0,0.08,0.02,0.06,0.04
Interest,0.15,0.15,0.28,-0.02,0.12,0.11,0.09,0.08,0.05
Depreciation,0.06,0.06,0.04,0.04,0.03,0.04,0.03,0.03,0.02
Profit before tax,0.09,-0.23,-0.19,0.32,1.21,0.09,0.48,-0.00,-0.15
Tax %,33.33,-13.04,-0.0,6.25,21.49,22.22,25.0,,-13.33
Net Profit,0.06,-0.26,-0.19,0.29,0.95,0.07,0.36,-0.02,-0.18
EPS in Rs,300.0,-0.25,-0.18,0.27,0.9,0.07,0.34,-0.02,-0.17
