,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,16.21,16.21,16.21,16.56,16.58,16.58,18.47,18.48,18.47
Government,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
Public,83.79,83.79,83.79,83.44,83.42,83.42,81.39,81.53,81.54
No. of Shareholders,3354.0,3366.0,3303.0,3274.0,3253.0,3223.0,3195.0,3347.0,3331.0
