,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.36,10.23,14.3,16.54,11.04,12.86,9.22,9.53,13.54,47.55,11.15,24.6,29.78
Expenses,8.01,9.5,13.3,15.09,10.27,11.38,9.47,8.87,11.94,39.06,10.11,20.93,25.01
Operating Profit,0.35,0.73,1.0,1.45,0.77,1.48,-0.25,0.66,1.6,8.49,1.04,3.67,4.77
OPM %,4.19,7.14,6.99,8.77,6.97,11.51,-2.71,6.93,11.82,17.85,9.33,14.92,16.02
Other Income,0.14,0.08,0.39,0.55,0.84,0.52,0.82,0.58,0.47,0.96,1.48,1.26,1.37
Interest,0.09,0.12,0.32,0.42,0.32,0.37,0.33,0.31,1.1,1.37,0.46,0.52,0.73
Depreciation,0.08,0.27,0.39,0.56,0.65,0.6,0.44,0.46,0.45,0.36,0.37,0.39,0.42
Profit before tax,0.32,0.42,0.68,1.02,0.64,1.03,-0.2,0.47,0.52,7.72,1.69,4.02,4.99
Tax %,0.0,30.95,23.53,32.35,31.25,32.04,-25.0,25.53,32.69,26.94,25.44,25.87,
Net Profit,0.32,0.29,0.52,0.69,0.45,0.7,-0.25,0.34,0.35,5.64,1.25,2.98,3.70
EPS in Rs,0.98,0.88,1.59,1.88,1.13,1.62,-0.53,0.69,0.67,10.24,2.27,5.41,6.71
