,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,2.91,0.00,0.00,0.00,0.00,10.45,0.00,0.00,0.00,0.00,0.0
Expenses,0.76,9.04,0.82,0.68,0.76,1.44,1.34,7.69,0.91,0.57,0.39,0.44,0.52
Operating Profit,-0.76,-9.04,2.09,-0.68,-0.76,-1.44,-1.34,2.76,-0.91,-0.57,-0.39,-0.44,-0.52
OPM %,,,71.82,,,,,26.41,,,,,
Other Income,19.69,0.00,0.0,20.07,2.58,0.96,0.18,0.09,0.02,0.11,0.05,-0.18,0.0
Interest,0.01,0.04,0.03,0.03,0.04,0.02,0.22,1.15,0.47,0.23,0.09,0.02,0.0
Depreciation,0.25,0.30,0.3,0.53,0.39,0.24,0.20,0.26,0.26,0.35,0.35,0.26,0.19
Profit before tax,18.67,-9.38,1.76,18.83,1.39,-0.74,-1.58,1.44,-1.62,-1.04,-0.78,-0.90,-0.71
Tax %,0.80,-1.81,21.02,-0.42,19.42,9.46,-13.92,2.08,25.93,25.00,-26.92,0.00,
Net Profit,18.52,-9.55,1.4,18.91,1.11,-0.67,-1.79,1.4,-1.20,-0.77,-0.98,-0.90,-0.71
EPS in Rs,13.23,-6.82,1.0,13.51,0.79,-0.48,-1.28,1.0,-0.86,-0.55,-0.70,-0.64,-0.5
