,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,79.55,80.24,83.96,86.81,85.49,80.58,85.79,95.74
Expenses,68.53,69.79,76.21,77.08,75.54,69.51,76.27,84.96
Operating Profit,11.02,10.45,7.75,9.73,9.95,11.07,9.52,10.78
OPM %,13.85,13.02,9.23,11.21,11.64,13.74,11.1,11.26
Other Income,0.25,0.11,0.2,0.24,0.19,0.33,0.31,0.21
Interest,1.36,1.11,1.32,1.77,1.53,1.64,1.55,1.24
Depreciation,2.03,2.04,1.81,2.34,2.4,2.43,2.08,2.18
Profit before tax,7.88,7.41,4.82,5.86,6.21,7.33,6.2,7.57
Tax %,25.13,25.24,26.97,25.94,24.64,24.01,27.26,24.83
Net Profit,5.9,5.54,3.51,4.35,4.68,5.57,4.51,5.69
EPS in Rs,2.88,2.7,1.71,2.12,2.28,2.72,2.2,2.77
