,2012-03-01,2013-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,2,3,4,4,21,21,21,21,21,21.0
Reserves,2,2,7,13,18,24,29,45,68,84,94.0
Preference Capital,0,0,3,3,2,1,0,0,0,0,
Borrowings,2,12,24,48,47,54,48,48,58,122,151.0
Other Liabilities,0,2,15,17,27,23,17,31,34,38,46.0
Total Liabilities,6,18,49,83,95,121,114,144,180,265,312.0
Fixed Assets,1,11,17,48,46,45,53,57,55,59,61.0
CWIP,2,0,3,2,0,17,3,0,7,54,108.0
Investments,0,0,0,0,0,0,0,0,0,1,1.0
Other Assets,2,7,29,33,49,60,58,87,118,151,142.0
Total Assets,6,18,49,83,95,121,114,144,180,265,312.0
