,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,26,40,41,42,47,47,47,47,51,61,61,98,98
Reserves,257,603,358,368,835,918,1029,1449,1429,1773,1309,7232,7337
Borrowings,203,657,613,747,660,820,831,1282,5066,5003,5196,8052,8155
Other Liabilities,126,287,340,273,356,440,442,1062,881,665,757,1091,1421
Total Liabilities,613,1586,1352,1429,1897,2225,2348,3840,7428,7502,7323,16473,17011
Fixed Assets,273,996,820,860,1000,1509,1590,2742,5886,5475,5407,14209,14387
CWIP,88,145,107,80,76,106,102,221,155,217,64,247,248
Investments,1,38,24,2,2,2,21,11,2,1,0,0,0
Other Assets,252,407,402,486,820,609,636,866,1385,1808,1851,2017,2376
Total Assets,613,1586,1352,1429,1897,2225,2348,3840,7428,7502,7323,16473,17011
