,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,268,259.0,249.0,324.0,349.0,372
Expenses,0,238,235.0,223.0,271.0,334.0,339
Operating Profit,0,30,24.0,26.0,53.0,15.0,34
OPM %,,11,9.0,11.0,16.0,4.0,9
Other Income,0,1,2.0,5.0,9.0,5.0,4
Interest,2,9,12.0,12.0,12.0,16.0,17
Depreciation,0,38,53.0,52.0,16.0,17.0,18
Profit before tax,-2,-17,-40.0,-33.0,34.0,-12.0,3
Tax %,0,29,16.0,-32.0,37.0,-4.0,
Net Profit,-5,-12,-33.0,-44.0,21.0,-13.0,-2
EPS in Rs,,,-5.67,-7.49,3.62,-2.21,-0.27
