,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,25.95,25.44,29.71,26.65,9.12,15.74,79.08,100.25,56.65,45.27,52.26,59.46,56.44
Expenses,22.27,22.9,26.28,26.3,10.97,13.35,76.96,95.6,58.01,43.42,52.73,59.42,55.61
Operating Profit,3.68,2.54,3.43,0.35,-1.85,2.39,2.12,4.65,-1.36,1.85,-0.47,0.04,0.83
OPM %,14.18,9.98,11.54,1.31,-20.29,15.18,2.68,4.64,-2.4,4.09,-0.9,0.07,1.47
Other Income,1.3,2.19,0.42,0.78,0.66,4.04,3.82,0.43,0.44,0.39,2.01,5.63,5.63
Interest,5.63,5.14,4.28,4.85,4.61,1.78,2.21,2.68,2.18,2.95,3.03,3.02,2.92
Depreciation,1.39,1.47,1.41,1.77,1.76,2.14,2.07,1.81,1.81,1.8,1.8,1.97,2.05
Profit before tax,-2.04,-1.88,-1.84,-5.49,-7.56,2.51,1.66,0.59,-4.91,-2.51,-3.29,0.68,1.49
Tax %,0.0,0.0,0.0,-1.82,0.0,0.0,0.0,0.0,0.0,-129.88,0.0,0.0,
Net Profit,-2.03,-1.88,-1.84,-5.59,-7.56,2.51,1.66,0.59,-4.91,-5.77,-3.29,0.68,1.49
EPS in Rs,-4.27,-3.96,-3.87,-11.77,-15.92,5.28,3.49,1.24,-10.34,-12.15,-6.93,1.43,3.14
